date,value,name
2019-12-31,27,中国
2020-01-03,17,中国
2020-01-05,15,中国
2020-01-13,1,泰国
2020-01-15,1,日本
2020-01-17,4,中国
2020-01-17,1,泰国
2020-01-18,17,中国
2020-01-19,136,中国
2020-01-20,19,中国
2020-01-20,1,韩国
2020-01-21,151,中国
2020-01-21,1,美国
2020-01-22,140,中国
2020-01-22,2,泰国
2020-01-23,97,中国
2020-01-24,259,中国
2020-01-24,1,日本
2020-01-24,3,新加坡
2020-01-24,1,韩国
2020-01-24,2,越南
2020-01-25,1,澳大利亚
2020-01-25,441,中国
2020-01-25,3,法国
2020-01-25,3,马来西亚
2020-01-25,1,尼泊尔
2020-01-25,1,泰国
2020-01-25,1,美国
2020-01-26,3,澳大利亚
2020-01-26,1,加拿大
2020-01-26,665,中国
2020-01-26,1,日本
2020-01-26,1,马来西亚
2020-01-26,1,新加坡
2020-01-26,1,韩国
2020-01-27,787,中国
2020-01-27,1,韩国
2020-01-27,3,泰国
2020-01-27,1,阿联酋
2020-01-27,3,美国
2020-01-28,1,柬埔寨
2020-01-28,1,加拿大
2020-01-28,1753,中国
2020-01-28,1,德国
2020-01-28,1,日本
2020-01-28,1,新加坡
2020-01-28,1,斯里兰卡
2020-01-28,6,泰国
2020-01-29,1,加拿大
2020-01-29,1466,中国
2020-01-29,1,法国
2020-01-29,3,德国
2020-01-29,3,日本
2020-01-29,3,马来西亚
2020-01-29,2,新加坡
2020-01-30,2,澳大利亚
2020-01-30,1740,中国
2020-01-30,1,芬兰
2020-01-30,1,法国
2020-01-30,1,印度
2020-01-30,4,日本
2020-01-30,1,菲律宾
2020-01-30,3,新加坡
2020-01-30,3,阿联酋
2020-01-31,1,澳大利亚
2020-01-31,1980,中国
2020-01-31,1,法国
2020-01-31,1,德国
2020-01-31,3,意大利
2020-01-31,3,日本
2020-01-31,1,马来西亚
2020-01-31,3,新加坡
2020-01-31,3,韩国
2020-01-31,2,英国
2020-01-31,1,美国
2020-01-31,3,越南
2020-02-01,2,澳大利亚
2020-02-01,1,加拿大
2020-02-01,2095,中国
2020-02-01,2,德国
2020-02-01,1,日本
2020-02-01,2,俄罗斯联邦
2020-02-01,3,新加坡
2020-02-01,5,韩国
2020-02-01,1,西班牙
2020-02-01,1,瑞典
2020-02-01,5,泰国
2020-02-01,1,美国
2020-02-02,2,澳大利亚
2020-02-02,2590,中国
2020-02-02,1,德国
2020-02-02,1,印度
2020-02-02,4,日本
2020-02-02,1,菲律宾
2020-02-02,2,新加坡
2020-02-02,3,韩国
2020-02-02,1,阿联酋
2020-02-02,1,美国
2020-02-02,2,越南
2020-02-03,2812,中国
2020-02-03,1,德国
2020-02-03,1,日本
2020-02-03,3,美国
2020-02-03,1,越南
2020-02-04,1,比利时
2020-02-04,3237,中国
2020-02-04,2,德国
2020-02-04,1,印度
2020-02-04,1,韩国
2020-02-04,1,越南
2020-02-05,1,澳大利亚
2020-02-05,1,加拿大
2020-02-05,3872,中国
2020-02-05,5,日本
2020-02-05,2,马来西亚
2020-02-05,6,新加坡
2020-02-05,2,韩国
2020-02-05,6,泰国
2020-02-05,1,越南
2020-02-06,1,澳大利亚
2020-02-06,3727,中国
2020-02-06,2,马来西亚
2020-02-06,1,菲律宾
2020-02-06,4,新加坡
2020-02-06,5,韩国
2020-02-06,1,美国
2020-02-07,1,澳大利亚
2020-02-07,2,加拿大
2020-02-07,3160,中国
2020-02-07,1,德国
2020-02-07,2,马来西亚
2020-02-07,2,新加坡
2020-02-07,1,韩国
2020-02-07,1,英国
2020-02-07,2,越南
2020-02-08,3418,中国
2020-02-08,5,法国
2020-02-08,1,德国
2020-02-08,1,马来西亚
2020-02-08,3,新加坡
2020-02-08,7,泰国
2020-02-08,2,阿联酋
2020-02-08,1,越南
2020-02-09,2607,中国
2020-02-09,1,马来西亚
2020-02-09,7,新加坡
2020-02-09,1,韩国
2020-02-09,1,英国
2020-02-09,1,越南
2020-02-10,2974,中国
2020-02-10,2,马来西亚
2020-02-10,3,新加坡
2020-02-10,2,韩国
2020-02-10,1,西班牙
2020-02-11,2490,中国
2020-02-11,2,新加坡
2020-02-11,1,韩国
2020-02-11,1,阿联酋
2020-02-11,4,英国
2020-02-11,1,美国
2020-02-11,1,越南
2020-02-12,2028,中国
2020-02-12,2,德国
2020-02-12,2,新加坡
2020-02-12,1,泰国
2020-02-13,15141,中国
2020-02-13,4,日本
2020-02-13,3,新加坡
2020-02-13,1,英国
2020-02-13,1,美国
2020-02-13,1,越南
2020-02-14,1,澳大利亚
2020-02-14,4156,中国
2020-02-14,1,日本
2020-02-14,1,马来西亚
2020-02-14,8,新加坡
2020-02-14,1,美国
2020-02-15,1,加拿大
2020-02-15,2538,中国
2020-02-15,1,埃及
2020-02-15,8,日本
2020-02-15,2,马来西亚
2020-02-15,9,新加坡
2020-02-15,1,泰国
2020-02-16,2007,中国
2020-02-16,14,日本
2020-02-16,1,马来西亚
2020-02-16,5,新加坡
2020-02-16,1,韩国
2020-02-17,2052,中国
2020-02-17,1,法国
2020-02-17,7,日本
2020-02-17,3,新加坡
2020-02-17,1,韩国
2020-02-17,1,阿联酋
2020-02-18,1890,中国
2020-02-18,2,新加坡
2020-02-18,1,韩国
2020-02-18,1,泰国
2020-02-19,1750,中国
2020-02-19,7,日本
2020-02-19,4,新加坡
2020-02-19,15,韩国
2020-02-20,394,中国
2020-02-20,2,伊朗
2020-02-20,18,日本
2020-02-20,3,新加坡
2020-02-20,34,韩国
2020-02-21,2,澳大利亚
2020-02-21,1,加拿大
2020-02-21,891,中国
2020-02-21,3,伊朗
2020-02-21,9,日本
2020-02-21,1,新加坡
2020-02-21,75,韩国
2020-02-21,1,美国
2020-02-22,4,澳大利亚
2020-02-22,826,中国
2020-02-22,13,伊朗
2020-02-22,1,以色列
2020-02-22,14,意大利
2020-02-22,12,日本
2020-02-22,1,黎巴嫩
2020-02-22,1,新加坡
2020-02-22,190,韩国
2020-02-22,2,阿联酋
2020-02-22,19,美国
2020-02-23,1,澳大利亚
2020-02-23,647,中国
2020-02-23,10,伊朗
2020-02-23,62,意大利
2020-02-23,27,日本
2020-02-23,3,新加坡
2020-02-23,256,韩国
2020-02-23,2,阿联酋
2020-02-24,1,巴林
2020-02-24,218,中国
2020-02-24,15,伊朗
2020-02-24,1,以色列
2020-02-24,53,意大利
2020-02-24,12,日本
2020-02-24,3,科威特
2020-02-24,161,韩国
2020-02-24,4,英国
2020-02-25,1,阿富汗
2020-02-25,1,巴林
2020-02-25,2,加拿大
2020-02-25,515,中国
2020-02-25,18,伊朗
2020-02-25,1,伊拉克
2020-02-25,97,意大利
2020-02-25,2,科威特
2020-02-25,2,阿曼
2020-02-25,1,新加坡
2020-02-25,130,韩国
2020-02-25,1,西班牙
2020-02-25,2,泰国
2020-02-25,18,美国
2020-02-26,1,阿尔及利亚
2020-02-26,2,奥地利
2020-02-26,21,巴林
2020-02-26,1,巴西
2020-02-26,410,中国
2020-02-26,1,克罗地亚
2020-02-26,2,法国
2020-02-26,2,德国
2020-02-26,34,伊朗
2020-02-26,4,伊拉克
2020-02-26,93,意大利
2020-02-26,20,日本
2020-02-26,6,科威特
2020-02-26,2,阿曼
2020-02-26,1,新加坡
2020-02-26,254,韩国
2020-02-26,4,西班牙
2020-02-26,1,瑞士
2020-02-26,3,泰国
2020-02-27,1,澳大利亚
2020-02-27,10,巴林
2020-02-27,1,加拿大
2020-02-27,439,中国
2020-02-27,1,克罗地亚
2020-02-27,1,丹麦
2020-02-27,1,芬兰
2020-02-27,3,法国
2020-02-27,1,格鲁吉亚
2020-02-27,4,德国
2020-02-27,1,希腊
2020-02-27,44,伊朗
2020-02-27,78,意大利
2020-02-27,22,日本
2020-02-27,15,科威特
2020-02-27,1,黎巴嫩
2020-02-27,1,马其顿
2020-02-27,1,挪威
2020-02-27,2,巴基斯坦
2020-02-27,1,罗马尼亚
2020-02-27,2,新加坡
2020-02-27,449,韩国
2020-02-27,5,西班牙
2020-02-27,1,瑞典
2020-02-27,6,美国
2020-02-28,3,奥地利
2020-02-28,1,白俄罗斯
2020-02-28,2,加拿大
2020-02-28,329,中国
2020-02-28,1,克罗地亚
2020-02-28,1,爱沙尼亚
2020-02-28,21,法国
2020-02-28,26,德国
2020-02-28,2,希腊
2020-02-28,106,伊朗
2020-02-28,1,伊拉克
2020-02-28,1,以色列
2020-02-28,250,意大利
2020-02-28,24,日本
2020-02-28,17,科威特
2020-02-28,1,黎巴嫩
2020-02-28,1,立陶宛
2020-02-28,1,马来西亚
2020-02-28,1,荷兰
2020-02-28,1,新西兰
2020-02-28,1,尼日利亚
2020-02-28,3,挪威
2020-02-28,2,阿曼
2020-02-28,1,圣马力诺
2020-02-28,3,新加坡
2020-02-28,427,韩国
2020-02-28,13,西班牙
2020-02-28,5,瑞典
2020-02-28,7,瑞士
2020-02-28,6,阿联酋
2020-02-28,3,英国
2020-02-28,1,美国
2020-02-29,2,澳大利亚
2020-02-29,2,奥地利
2020-02-29,1,阿塞拜疆
2020-02-29,5,巴林
2020-02-29,2,加拿大
2020-02-29,428,中国
2020-02-29,2,克罗地亚
2020-02-29,1,丹麦
2020-02-29,1,芬兰
2020-02-29,19,法国
2020-02-29,1,格鲁吉亚
2020-02-29,10,德国
2020-02-29,1,希腊
2020-02-29,1,冰岛
2020-02-29,143,伊朗
2020-02-29,1,伊拉克
2020-02-29,4,以色列
2020-02-29,238,意大利
2020-02-29,20,日本
2020-02-29,2,科威特
2020-02-29,2,马来西亚
2020-02-29,2,墨西哥
2020-02-29,1,摩纳哥
2020-02-29,1,荷兰
2020-02-29,2,挪威
2020-02-29,2,罗马尼亚
2020-02-29,2,新加坡
2020-02-29,909,韩国
2020-02-29,9,西班牙
2020-02-29,5,瑞典
2020-02-29,4,瑞士
2020-02-29,2,泰国
2020-02-29,2,英国
2020-02-29,6,美国
2020-03-01,1,亚美尼亚
2020-03-01,1,澳大利亚
2020-03-01,3,奥地利
2020-03-01,3,巴林
2020-03-01,1,巴西
2020-03-01,4,加拿大
2020-03-01,574,中国
2020-03-01,1,丹麦
2020-03-01,1,厄瓜多尔
2020-03-01,43,法国
2020-03-01,1,格鲁吉亚
2020-03-01,54,德国
2020-03-01,3,希腊
2020-03-01,205,伊朗
2020-03-01,6,伊拉克
