date,value,name
2020-01-13,1,泰国
2020-01-14,1,泰国
2020-01-15,1,日本
2020-01-15,1,泰国
2020-01-16,1,日本
2020-01-16,1,泰国
2020-01-17,1,日本
2020-01-17,2,泰国
2020-01-18,1,日本
2020-01-18,2,泰国
2020-01-19,1,日本
2020-01-19,2,泰国
2020-01-20,1,日本
2020-01-20,1,韩国
2020-01-20,2,泰国
2020-01-21,1,日本
2020-01-21,1,韩国
2020-01-21,2,泰国
2020-01-21,1,美国
2020-01-22,1,日本
2020-01-22,1,韩国
2020-01-22,4,泰国
2020-01-22,1,美国
2020-01-23,1,日本
2020-01-23,1,韩国
2020-01-23,4,泰国
2020-01-23,1,美国
2020-01-24,2,日本
2020-01-24,3,新加坡
2020-01-24,2,韩国
2020-01-24,4,泰国
2020-01-24,1,美国
2020-01-24,2,越南
2020-01-25,1,澳大利亚
2020-01-25,3,法国
2020-01-25,2,日本
2020-01-25,3,马来西亚
2020-01-25,1,尼泊尔
2020-01-25,3,新加坡
2020-01-25,2,韩国
2020-01-25,5,泰国
2020-01-25,2,美国
2020-01-25,2,越南
2020-01-26,4,澳大利亚
2020-01-26,1,加拿大
2020-01-26,3,法国
2020-01-26,3,日本
2020-01-26,4,马来西亚
2020-01-26,1,尼泊尔
2020-01-26,4,新加坡
2020-01-26,3,韩国
2020-01-26,5,泰国
2020-01-26,2,美国
2020-01-26,2,越南
2020-01-27,4,澳大利亚
2020-01-27,1,加拿大
2020-01-27,3,法国
2020-01-27,3,日本
2020-01-27,4,马来西亚
2020-01-27,1,尼泊尔
2020-01-27,4,新加坡
2020-01-27,4,韩国
2020-01-27,8,泰国
2020-01-27,1,阿联酋
2020-01-27,5,美国
2020-01-27,2,越南
2020-01-28,4,澳大利亚
2020-01-28,1,柬埔寨
2020-01-28,2,加拿大
2020-01-28,3,法国
2020-01-28,1,德国
2020-01-28,4,日本
2020-01-28,4,马来西亚
2020-01-28,1,尼泊尔
2020-01-28,5,新加坡
2020-01-28,4,韩国
2020-01-28,1,斯里兰卡
2020-01-28,14,泰国
2020-01-28,1,阿联酋
2020-01-28,5,美国
2020-01-28,2,越南
2020-01-29,4,澳大利亚
2020-01-29,1,柬埔寨
2020-01-29,3,加拿大
2020-01-29,4,法国
2020-01-29,4,德国
2020-01-29,7,日本
2020-01-29,7,马来西亚
2020-01-29,1,尼泊尔
2020-01-29,7,新加坡
2020-01-29,4,韩国
2020-01-29,1,斯里兰卡
2020-01-29,14,泰国
2020-01-29,1,阿联酋
2020-01-29,5,美国
2020-01-29,2,越南
2020-01-30,6,澳大利亚
2020-01-30,1,柬埔寨
2020-01-30,3,加拿大
2020-01-30,1,芬兰
2020-01-30,5,法国
2020-01-30,4,德国
2020-01-30,1,印度
2020-01-30,11,日本
2020-01-30,7,马来西亚
2020-01-30,1,尼泊尔
2020-01-30,1,菲律宾
2020-01-30,10,新加坡
2020-01-30,4,韩国
2020-01-30,1,斯里兰卡
2020-01-30,14,泰国
2020-01-30,4,阿联酋
2020-01-30,5,美国
2020-01-30,2,越南
2020-01-31,7,澳大利亚
2020-01-31,1,柬埔寨
2020-01-31,3,加拿大
2020-01-31,1,芬兰
2020-01-31,6,法国
2020-01-31,5,德国
2020-01-31,1,印度
2020-01-31,3,意大利
2020-01-31,14,日本
2020-01-31,8,马来西亚
2020-01-31,1,尼泊尔
2020-01-31,1,菲律宾
2020-01-31,13,新加坡
2020-01-31,7,韩国
2020-01-31,1,斯里兰卡
2020-01-31,14,泰国
2020-01-31,4,阿联酋
2020-01-31,2,英国
2020-01-31,6,美国
2020-01-31,5,越南
2020-02-01,9,澳大利亚
2020-02-01,1,柬埔寨
2020-02-01,4,加拿大
2020-02-01,1,芬兰
2020-02-01,6,法国
2020-02-01,7,德国
2020-02-01,1,印度
2020-02-01,3,意大利
2020-02-01,15,日本
2020-02-01,8,马来西亚
2020-02-01,1,尼泊尔
2020-02-01,1,菲律宾
2020-02-01,2,俄罗斯联邦
2020-02-01,16,新加坡
2020-02-01,12,韩国
2020-02-01,1,西班牙
2020-02-01,1,斯里兰卡
2020-02-01,1,瑞典
2020-02-01,19,泰国
2020-02-01,4,阿联酋
2020-02-01,2,英国
2020-02-01,7,美国
2020-02-01,5,越南
2020-02-02,11,澳大利亚
2020-02-02,1,柬埔寨
2020-02-02,4,加拿大
2020-02-02,1,芬兰
2020-02-02,6,法国
2020-02-02,8,德国
2020-02-02,2,印度
2020-02-02,3,意大利
2020-02-02,19,日本
2020-02-02,8,马来西亚
2020-02-02,1,尼泊尔
2020-02-02,2,菲律宾
2020-02-02,2,俄罗斯联邦
2020-02-02,18,新加坡
2020-02-02,15,韩国
2020-02-02,1,西班牙
2020-02-02,1,斯里兰卡
2020-02-02,1,瑞典
2020-02-02,19,泰国
2020-02-02,5,阿联酋
2020-02-02,2,英国
2020-02-02,8,美国
2020-02-02,7,越南
2020-02-03,11,澳大利亚
2020-02-03,1,柬埔寨
2020-02-03,4,加拿大
2020-02-03,1,芬兰
2020-02-03,6,法国
2020-02-03,9,德国
2020-02-03,2,印度
2020-02-03,3,意大利
2020-02-03,20,日本
2020-02-03,8,马来西亚
2020-02-03,1,尼泊尔
2020-02-03,2,菲律宾
2020-02-03,2,俄罗斯联邦
2020-02-03,18,新加坡
2020-02-03,15,韩国
2020-02-03,1,西班牙
2020-02-03,1,斯里兰卡
2020-02-03,1,瑞典
2020-02-03,19,泰国
2020-02-03,5,阿联酋
2020-02-03,2,英国
2020-02-03,11,美国
2020-02-03,8,越南
2020-02-04,11,澳大利亚
2020-02-04,1,比利时
2020-02-04,1,柬埔寨
2020-02-04,4,加拿大
2020-02-04,1,芬兰
2020-02-04,6,法国
2020-02-04,11,德国
2020-02-04,3,印度
2020-02-04,3,意大利
2020-02-04,20,日本
2020-02-04,8,马来西亚
2020-02-04,1,尼泊尔
2020-02-04,2,菲律宾
2020-02-04,2,俄罗斯联邦
2020-02-04,18,新加坡
2020-02-04,16,韩国
2020-02-04,1,西班牙
2020-02-04,1,斯里兰卡
2020-02-04,1,瑞典
2020-02-04,19,泰国
2020-02-04,5,阿联酋
2020-02-04,2,英国
2020-02-04,11,美国
2020-02-04,9,越南
2020-02-05,12,澳大利亚
2020-02-05,1,比利时
2020-02-05,1,柬埔寨
2020-02-05,5,加拿大
2020-02-05,1,芬兰
2020-02-05,6,法国
2020-02-05,11,德国
2020-02-05,3,印度
2020-02-05,3,意大利
2020-02-05,25,日本
2020-02-05,10,马来西亚
2020-02-05,1,尼泊尔
2020-02-05,2,菲律宾
