一个顶俩 yi'ge'ding'lia
俩瓜仨枣 lia'gua'sa'zao
前所未有 qian'suo'wei'you
毫无疑问 hao'wu'yi'wen
无论如何 wu'lun'ru'he
不可思议 bu'ke'si'yi
不可避免 bu'ke'bi'mian
脱颖而出 tuo'ying'er'chu
莫名其妙 mo'ming'qi'miao
不知不觉 bu'zhi'bu'jue
众所周知 zhong'suo'zhou'zhi
有感而发 you'gan'er'fa
实实在在 shi'shi'zai'zai
全力以赴 quan'li'yi'fu
各种各样 ge'zhong'ge'yang
一如既往 yi'ru'ji'wang
实事求是 shi'shi'qiu'shi
丰富多彩 feng'fu'duo'cai
与众不同 yu'zhong'bu'tong
引人注目 yin'ren'zhu'mu
千方百计 qian'fang'bai'ji
小心翼翼 xiao'xin'yi'yi
随时随地 sui'shi'sui'di
反腐倡廉 fan'fu'chang'lian
供不应求 gong'bu'ying'qiu
坚定不移 jian'ding'bu'yi
层出不穷 ceng'chu'bu'qiong
毫不犹豫 hao'bu'you'yu
必不可少 bi'bu'ke'shao
不可或缺 bu'ke'huo'que
独一无二 du'yi'wu'er
迫不及待 po'bu'ji'dai
淋漓尽致 lin'li'jin'zhi
意想不到 yi'xiang'bu'dao
突如其来 tu'ru'qi'lai
方方面面 fang'fang'mian'mian
有史以来 you'shi'yi'lai
理所当然 li'suo'dang'ran
全心全意 quan'xin'quan'yi
出人意料 chu'ren'yi'liao
成千上万 cheng'qian'shang'wan
截然不同 jie'ran'bu'tong
不约而同 bu'yue'er'tong
新陈代谢 xin'chen'dai'xie
当务之急 dang'wu'zhi'ji
可想而知 ke'xiang'er'zhi
深入人心 shen'ru'ren'xin
如火如荼 ru'huo'ru'tu
源源不断 yuan'yuan'bu'duan
吃喝玩乐 chi'he'wan'le
艰苦奋斗 jian'ku'fen'dou
显而易见 xian'er'yi'jian
春意盎然 chun'yi'ang'ran
调查研究 diao'cha'yan'jiu
不由自主 bu'you'zi'zhu
大大小小 da'da'xiao'xiao
不知所措 bu'zhi'suo'cuo
名副其实 ming'fu'qi'shi
因地制宜 yin'di'zhi'yi
息息相关 xi'xi'xiang'guan
无可奈何 wu'ke'nai'he
一年一度 yi'nian'yi'du
或多或少 huo'duo'huo'shao
愈演愈烈 yu'yan'yu'lie
拭目以待 shi'mu'yi'dai
见义勇为 jian'yi'yong'wei
一模一样 yi'mo'yi'yang
大吃一惊 da'chi'yi'jing
后顾之忧 hou'gu'zhi'you
想方设法 xiang'fang'she'fa
擦肩而过 ca'jian'er'guo
天下第一 tian'xia'di'yi
得天独厚 de'tian'du'hou
自然而然 zi'ran'er'ran
随心所欲 sui'xin'suo'yu
一目了然 yi'mu'le'ran
取而代之 qu'er'dai'zhi
不言而喻 bu'yan'er'yu
无能为力 wu'neng'wei'li
坚持不懈 jian'chi'bu'xie
五花八门 wu'hua'ba'men
轰轰烈烈 hong'hong'lie'lie
举足轻重 ju'zu'qing'zhong
目瞪口呆 mu'deng'kou'dai
行之有效 xing'zhi'you'xiao
各式各样 ge'shi'ge'yang
情不自禁 qing'bu'zi'jin
泪流满面 lei'liu'man'mian
点点滴滴 dian'dian'di'di
沸沸扬扬 fei'fei'yang'yang
循序渐进 xun'xu'jian'jin
十字路口 shi'zi'lu'kou
紧锣密鼓 jin'luo'mi'gu
梅开二度 mei'kai'er'du
不以为然 bu'yi'wei'ran
不折不扣 bu'zhe'bu'kou
此起彼伏 ci'qi'bi'fu
来之不易 lai'zhi'bu'yi
不容忽视 bu'rong'hu'shi
雪上加霜 xue'shang'jia'shuang
当之无愧 dang'zhi'wu'kui
出乎意料 chu'hu'yi'liao
络绎不绝 luo'yi'bu'jue
水涨船高 shui'zhang'chuan'gao
胡思乱想 hu'si'luan'xiang
惊心动魄 jing'xin'dong'po
弄虚作假 nong'xu'zuo'jia
更进一步 geng'jin'yi'bu
势在必行 shi'zai'bi'xing
讨价还价 tao'jia'hai'jia
何去何从 he'qu'he'cong
家喻户晓 jia'yu'hu'xiao
名列前茅 ming'lie'qian'mao
应运而生 ying'yun'er'sheng
再接再厉 zai'jie'zai'li
自言自语 zi'yan'zi'yu
一应俱全 yi'ying'ju'quan
一见钟情 yi'jian'zhong'qing
此时此刻 ci'shi'ci'ke
眼花缭乱 yan'hua'liao'luan
可见一斑 ke'jian'yi'ban
毋庸置疑 wu'yong'zhi'yi
史无前例 shi'wu'qian'li
铺天盖地 pu'tian'gai'di
不得而知 bu'de'er'zhi
一举一动 yi'ju'yi'dong
迫在眉睫 po'zai'mei'jie
脚踏实地 jiao'ta'shi'di
